youdescribe_link,audio_clip_file_path,audio_clip_file_name,audio_clip_start_time,audio_clip_end_time,audio_clip_duration,audio_clip_playback_type,db_transcript,openai/whisper-large-v2,openai/whisper-large,openai/whisper-large-v3,distil-whisper/distil-large-v2,distil-whisper/distil-medium.en
https://youdescribe.org/video/QeYISW-Jplw?ad=5ded335a3568613e35e7eff0,/current/QeYISW-Jplw,QeYISW-Jplw_5df3ae5dcca06d62bf8f6c55.wav,960.4681369694824,1020.4574703028158,59.989,inline,three figures make their way onto a dark stage the director the actress in the man the director of all diverse Skin Man in the dark suit quickly looks the roll of film on the opposite corner the dark-haired man dressed in a white suit wraps the actress in a white feather road to match the ropes of pearls hanging around her neck he guides her up the spiral staircase behind them the director notices in jumps across the stage he holds her pleadingly but she resists he takes the white feather rope hastily leaving her in a black Shimmer and gown he points out the actress to leave he points again and she looks at him baffled the actress looks back at the man and makes her way up the stairs the director looks away invisible distress he looks back up and angrily points twice more at the pair Still Standing atop the staircase the actress in The Man disappear and exit the stage," Three figures make their way onto a dark stage. The director, the actress, and the man. The director, a bald, ivory-skinned man in a dark suit, quickly looks through a roll of film. On the opposite corner, the dark-haired man dressed in a white suit wraps the actress in a white feather robe to match the ropes of pearls hanging around her neck. He guides her up the spiral staircase behind them. The director notices and jumps across the stage. He holds her pleadingly, but she resists. He takes the white feather rope hastily, leaving her in a black shimmering gown. He points at the actress to leave. He points again, and she looks at him baffled. The actress looks back at the man and makes her way up the stairs. The director looks away, in visible distress. He looks back up and angrily points twice more at the pair still standing atop the staircase. The actress and the man disappear and exit the stage."," Three figures make their way onto a dark stage. The director, the actress, and the man. The director, a bald ivory-skinned man in a dark suit, quickly looks through a roll of film. On the opposite corner, the dark-haired man dressed in a white suit wraps the actress in a white feather robe to match the robes of pearls hanging around her neck. He guides her up the spiral staircase behind them. The director notices and jumps across the stage. He holds her pleadingly but she resists. He takes the white feather robe hastily, leaving her in a black shimmering gown. He points at the actress to leave. He points again and she looks at him baffled. The actress looks back at the man and makes her way up the stairs. The director looks away in visible distress. He looks back up and angrily points twice more at the pair still standing atop the staircase. The actress and the man disappear and exit the stage."," Three figures make their way onto a dark stage. The director, the actress, and the man. The director, a bald ivory skinned man in a dark suit, quickly looks through a roll of film. On the opposite corner, the dark haired man dressed in a white suit wraps the actress in a white feather robe to match the ropes of pearls hanging around her neck. He guides her up the spiral staircase behind them. The director notices and jumps across the stage. He holds her pleadingly, but she resists. He takes the white feather rope hastily, leaving her in a black shimmering gown. He points at the actress to leave. He points again and she looks at him baffled. The actress looks back at the man and makes her way up the stairs. The director looks away, invisible distress. He looks back up and angrily points twice more at the pair still standing atop the staircase. The actress and the man disappear and exit the stage."," Three figures make their way onto a dark stage, the director, the actress, and the man. The director, a bald, ivory-skinned man in a dark suit, quickly looks through a roll of film. On the opposite corner, the dark-haired man dressed in a white suit wraps the actress in a white feather robe to match the ropes of pearls hanging around her neck. He guides her up the spiral staircase behind them. The director notices and jumps across the stage. He holds her pleadingly, but she resists. He takes the white feather rope hastily, leaving her in a black shimmering gown. He points at the actress to leave. He points again, and she looks at him baffled. The actress looks back at the man and makes her way up the stairs. The director looks at the man and makes her way up the stairs. The director looks away in visible distress. He looks back up and angrily points twice more at the pair still standing atop the staircase. The actress and the man disappear and exit the stage."," Three figures make their way onto a dark stage, the director, the actress, and the man. The director, a bald ivory skin man in a dark suit quickly looks through a role of film. On the opposite corner, the dark-haired man dressed in a white suit, wraps the actress in a white feather robe to match the robes of pearls hanging around her neck. He guides her up the spiral staircase behind them. The director notices and jumps across the stage. He holds her pleadingly, but she resists. He takes the white feather robe hastily, leaving her in a black shimmering gown. He points at the actress to leave. He points again and she looks at him baffled. The actress looks back at the man and makes her way up the stairs. The director looks away in visible distress. He looks back up and angrily points twice more at the pair still standing atop the staircase. The actress and the man disappear and exit the stage."
https://youdescribe.org/video/QeYISW-Jplw?ad=5ded335a3568613e35e7eff0,/current/QeYISW-Jplw,QeYISW-Jplw_5df3ae99cca06d62bf8f6c56.wav,1021.1517028817444,1043.6797028817443,22.528,inline,the director stands alone in the dark space his hands still pointing at idle flash is an Italian the director having removed his beloved woman in an excess of jealousy remains alone and without a diva he presses his face to the white feather robe and holds it tightly he looks out into the crowd with evidence sadness in his eyes," The director stands alone in the dark space, his hand still pointing. A title flashes in Italian. The director, having removed his beloved woman in an excess of jealousy, remains alone and without a diva. He presses his face to the white feather robe and holds it tightly. He looks out into the crowd with evident sadness in his eyes."," The director stands alone in the dark space, his hand still pointing. A title flashes in Italian, the director, having removed his beloved woman in a nexus of jealousy, remains alone and without a diva. He presses his face to the white feather robe and holds it tightly. He looks out into the crowd with evident sadness in his eyes."," The director stands alone in the dark space, his hand still pointing. A title flashes in Italian. The director, having removed his beloved woman in an excess of jealousy, remains alone and without a diva. He presses his face to the white feather robe and holds it tightly. He looks out into the crowd with evident sadness in his eyes."," The director stands alone, in the dark space, his hand still pointing. A title flashes in Italian, the director, having removed his beloved woman in an excess of jealousy, remains alone and without a diva. He presses his face to the white feather robe and holds it tightly. He looks out into the crowd with evident sadness in his eyes."," The director, having removed his his having removed his beloved woman in a nexus of jealousy, remains alone and without a diva. He presses his face to the white feather robe and holds it tightly. He looks out into the crowd with evidence sadness in his eyes."
https://youdescribe.org/video/QeYISW-Jplw?ad=5ded335a3568613e35e7eff0,/current/QeYISW-Jplw,QeYISW-Jplw_5df3aeee52c28362a6f25e8f.wav,1046.8905658016358,1098.0052324683024,51.115,inline,a figure is seen entering the stage behind him from the left the director's assistant approaches the director and he to touches the feather oh the figure is revealed been over woman is seen on the other side of the stage she sensually makes herself visible displaying a pearly complexion into dark eyes to match her black hair and lips the director approaches and loves her down and up and she smiles a title reads excuse me are you the director the director brings his hands to his face in the shape of a camera in agreeance he looks around and makes his way to his chair his assistant hands him his megaphone from behind the young actress with both hands clasping her chest awaits her Direction the director yells through his megaphone making a gesture command," A figure is seen entering the stage behind him. From the left, the director's assistant approaches the director, and he too touches the feather robe. The figure is revealed. A bent-over woman is seen on the other side of the stage. She centrally makes herself visible, displaying a pearly complexion and two dark eyes to match her black hair and lips. The director approaches and looks her down and up and she smiles. A title reads, excuse me, are you the director? The director brings his hands to his face in the shape of a camera in agreeance. He looks around and makes his way to his chair. His assistant hands him his megaphone from behind. The young actress with both hands clasping her chest awaits her direction. The director yells through his megaphone making a gestured command."," A figure is seen entering the stage behind him. From the left, the director's assistant approaches the director and he too touches the feather robe. The figure is revealed. A bent over woman is seen on the other side of the stage. She essentially makes herself visible, displaying a pearly complexion and two dark eyes to match her black hair and lips. The director approaches and looks her down and up and she smiles. A title reads, Excuse me, are you the director? The director brings his hands to his face in the shape of a camera in agreeance. He looks around and makes his way to his chair. His assistant hands him his megaphone from behind. The young actress with both hands clasping her chest awaits her direction. The director yells through his megaphone making a gestured command."," A figure is seen entering the stage behind him. From the left, the director's assistant approaches the director and he too touches the feather robe. The figure is revealed. A bent over woman is seen on the other side of the stage. She centrally makes herself visible, displaying a pearly complexion and two dark eyes to match her black hair and lips. The director approaches and looks her down. her black hair and lips. The director approaches and looks her down and up, and she smiles. A title reads, excuse me, are you the director? The director brings his hands to his face in the shape of a camera in agreeance. He looks around and makes his way to his chair. His assistant hands him his megaphone from behind. The young actress, with both hands clasping her chest awaits her direction. The director yells through his megaphone, making a gestured command."," A figure is seen entering the stage behind him. From the left, the director's assistant approaches the director, and he too touches the feather robe. The figure is revealed. A bent over woman is seen on the other side of the stage. She essentially makes herself visible, displaying a pearly complexion and two dark eyes to match her black hair and lips. The director approaches and looks her down and up and she smiles. A title reads, excuse me, are you the director? The director brings his hands to his face in the shape of a camera in agreeance. He looks around and makes his way to his chair. His assistant hands him his megaphone from behind. The young actress with both hands clasping her chest awaits her direction. The director yells through his megaphone making a gestured command."," A figure is seen entering the stage behind him. From the left, the director's assistant approaches the director, and he too touches the feather robe. The figure is revealed. A bent over woman is seen on the other side of the stage. She centrally makes herself visible, displaying a pearly complexion and two dark eyes to match her black hair and lips. The director approaches and looks her down and up and she smiles. A title reads, excuse me, are you the director? The director brings his hands to his face in the shape of a camera in agreements. He looks around and makes his way to his chair. His assistant hands him his megaphone from behind. The young actress with both hands clasping her chest awaits her direction. The director yells through his megaphone making a gestured command."
https://youdescribe.org/video/QeYISW-Jplw?ad=5ded335a3568613e35e7eff0,/current/QeYISW-Jplw,QeYISW-Jplw_5df3af74cca06d62bf8f6c57.wav,1100.5045228569488,1177.9871895236156,77.483,inline,the woman silly faces the audience she suddenly begins to wail soundlessly pleading to the crowd of both hands in a fist she throws her head back covering her face and despair she then drops her hands and head smiling at the director and concluding her performance the director gestures towards his chest his face contorts into a second and more hasty demand the young actress with both hands still in her chest readies herself she turns to face the audience her mouth begins to widen into a bright beam she blows kisses into the crowd and words a humbled expression as she wraps her arms around herself she drops her smile and concludes her second performance the director points to the young actress his chest and back to the young actress he puts his megaphone to his mouth and exclaims tears the young actress looks back out into the audience visibly displeased her face contorted to a second even more disconsolate whale with both hands in a fist she pleads before she throws her head back in desperation she drops the ACT looking proud and once again smiles to the director the director looked behind him and commands her once again the title flashes and exclaims tears," The woman slowly faces the audience. She suddenly begins to wail soundlessly, pleading to the crowd with both hands in a fist. She throws her head back, covering her face in despair. She then drops her hands and head, smiling at the director and concluding her performance. The director gestures towards his chest. His face contorts into a second and more hasty demand. The young actress, with both hands still in her chest, readies herself. She turns to face the audience. Her mouth begins to widen into a bright beam. She blows kisses into the crowd and wears a humbled expression as she wraps her arms around herself. She drops her smile and concludes her second performance. The director points to the young actress, his chest, and back to the young actress. He puts his megaphone to his mouth and exclaims, tears! The young actress looks back out into the audience, visibly displeased. Her face contorts into a second, even more disconsolate wail. With both hands in a fist, she pleads before she throws her head back in desperation. She drops the act looking proud and once again smiles to the director. The director looks behind him and commands her once again. The title flashes and exclaims, tears."," The woman slowly faces the audience. She suddenly begins to wail soundlessly, pleading to the crowd with both hands and a fist. She throws her head back, covering her face in despair. She then drops her hands and head, smiling at the director and concluding her performance. The director gestures towards his chest. His face contorts into a second and more hasty demand. The young actress, with both hands still on her chest, readies herself. She turns to face the audience. Her mouth begins to widen into a bright beam. She blows kisses into the crowd and wears a humbled expression as she wraps her arms around herself. She drops her smile and concludes her second performance. The director points to the young actress, his chest, and back to the young actress. The second performance. The director points to the young actress, his chest, and back to the young actress. He puts his megaphone to his mouth and exclaims, tears. The young actress looks back out into the audience, visibly displeased. Her face contorts into a second, even more disconsolate wail. With both hands in a fist, she pleads before she throws her head back in desperation. She drops the act looking proud and once again smiles to the director. The director looks behind him and commands her once again. The title flashes and exclaims, tears."," The woman slowly faces the audience. She suddenly begins to wail soundlessly, pleading to the crowd with both hands and a fist. She throws her head back, covering her face in despair. She then drops her hands and head, smiling at the director and concluding her performance. The director gestures towards his chest. His face contorts into a second and more hasty demand. The young actress with both hands still in her chest readies herself. She turns to face the audience. Her mouth begins to face the audience. Her mouth begins to widen into a bright beam. She blows kisses into the crowd and words a humbled expression as she wraps her arms around herself. She drops her smile and concludes her second performance. The director points to the young actress, his chest, and back to the young actress. He puts his megaphone to his mouth and exclaims, Tears! The young actress looks back out into the audience, visibly displeased. Her face contorts into a second, even more disconsolate wail. With both hands in a fist, she pleads before she throws her head back in desperation. She drops the act looking proud and once again smiles to the director. The director looks behind him and commands her once again. The title flashes and exclaims, tears."," The woman slowly faces the audience. She suddenly begins to wail soundlessly, pleading to the crowd with both hands in a fist. She throws her head back, covering her face in despair. She then drops her hands and head, smiling at the director and concluding her performance. The director gestures towards his chest. His face contorts into a second and more hasty demand. The young actress, with both hands still in her chest, readies herself. She turns to face the audience. Her mouth begins to widen into a bright beam. She blows kisses into the crowd and words a humbled expression as she wraps her arms around herself. She drops her smile and concludes her second performance. The director points to the young actress, his chest, and back to the young actress. He puts his megaphone to his mouth and exclaims, tears. The young actress looks back out into the audience, visibly displeased. Her face contours it to a second, even more disconsolate wail. With both hands and a fist, she pleads before she throws her head back in desperation. She drops the act looking proud, and once again smiles to the director. The director looks behind him and commands her once again. The title flashes and exclaims, Tears."," The woman slowly faces the audience. She suddenly begins to wail soundlessly, pleading to the crowd of both hands and a fist. She throws her head back, covering her face in despair. She then drops her hands and head, smiling at the director and concluding her performance. The director gestures towards his chest. His face contorts into a second and more hasty demand. The young actress, with both hands still in her chest, readies herself. She turns to face the audience. Her mouth begins to widen into a bright being. She blows kisses into the crowd and wears a humbled expression as she wraps her arms around herself. She drops her smile and concludes her second performance. The director points to the young actress, his chest and back to the young actress. He puts his megaphone to his mouth and exclaims tears. The young actress looks back out into the audience, visibly displeased. Her face contorts it to a second, even more disconsolate whale. With both hands in a fist, she pleads before she throws her head back in desperation. She drops the act looking proud and once again smiles to the director. The director looks behind him and commands her once again. The title flashes and exclaims, tears."
https://youdescribe.org/video/QeYISW-Jplw?ad=5ded335a3568613e35e7eff0,/current/QeYISW-Jplw,QeYISW-Jplw_5df3b1d9cca06d62bf8f6c59.wav,1178.9631649961852,1234.3444983295185,55.381,inline,the young actress places both hands on her chest she flinches once she flinches twice and then she throws herself on the ground with her face between her hands she looks up at the director he looks back at her with a face of sis gust he proceeds to stand up and yelled through the microphone she looks up at him frightened a title flashes tears tears if you have any respect for me at all you will give me your tears the young actress looks distraught she reaches over to grab the megaphone the director places one side to his ear and the actress speaks into the other the title flashes please let me play come back my little one the director slowly puts the megaphone down looking interested he puts the megaphone to his mouth and mumbles something the young actress still sitting readies herself the directors crouched beside her," The young actress places both hands on her chest. She flinches once. She flinches twice, and then she throws herself on the ground with her face between her hands. She looks up at the director. He looks back at her with a face of disgust. He proceeds to stand up and yelled through the microphone. She looks up at him, frightened. A title flashes, Tears, tears, if you have any respect for me at all, you will give me your tears. The young actress looks distraught. She reaches over to grab the megaphone. The director places one side to his ear, and the actress speaks into the other. A title flashes, Please, let me play Come Back, My Little One. The director slowly puts the megaphone down, looking interested. He puts the megaphone to his mouth and mumbles something. The young actress, still sitting, readies herself. The director is crouched beside her."," The young actress places both hands on her chest. She flinches once. She flinches twice and then she throws herself on the ground with her face between her hands. She looks up at the director. He looks back at her with a face of disgust. He proceeds to stand up and yelled through the microphone. She looks up at him frightened. A title flashes, tears, tears, if you have any respect for me at all, you will give me your tears. The young actress looks distraught. She reaches over to grab the megaphone. The director places one side to his ear, and the actress speaks into the other. A title flashes, Please, let me play Come Back My Little One. The director slowly puts the megaphone down down looking interested. He puts the megaphone to his mouth and mumbles something. The young actress still sitting readies herself. The director is crouched beside her."," The young actress places both hands on her chest. She flinches once. She flinches twice, and then she throws herself on the ground with her face between her hands. She looks up at the director. He looks back at her with a face of disgust. He proceeds to stand up and yelled through the microphone. She looks up at him frightened. A title flashes, Tears, tears, if you have any respect for me at all, you will give me your tears. The young actress looks distraught. She reaches over to grab the megaphone. The director places one side to his ear, and the actress speaks into the other. A title flashes, Please, let me play Come Back, My Little One. The director slowly puts the megaphone down, looking interested. He puts the megaphone to his mouth and mumbles something. The young actress, still sitting, readies herself. The director is crouched beside her."," The young actress places both hands on her chest. She flinches once. She flinches twice and then she throws herself on the ground with her face between her hands. She looks up at the director. He looks back at her with a face of disgust. He proceeds to stand up and yelled through the microphone. She looks up at him frightened. A title flashes, tears, tears, if you have any respect for me at all, you will give me your tears. The young actress looks distraught. She reaches over to grab the megaphone. The director places one side to his ear and the actress speaks into the other. A title flashes, Please, let me play Come Back My Little One. The director slowly puts the megaphone down looking interested. He puts the megaphone to his mouth and mumbles something. The young actress still sitting readies herself. The director is crouched beside her."," The young actress places both hands on her chest. She flinches once. She flinches twice and then she throws herself on the ground with her face between her hands. She looks up at the director. He looks back at her with a face of disgust. He proceeds to stand up and yelled through the microphone. She looks up at him frightened. A title flashes, tears tears tears if you have any respect for me at all you will give me your tears The young actress looks distraught she reaches over to grab the megaphone The director places one side to his ear and the actress speaks into the other. The title flashes, please, let me play, come back, my little one. The director slowly puts the megaphone down looking interested. He puts the megaphone to his mouth and mumble something. The young actress still sitting readies herself. The director's crouch beside her."
https://youdescribe.org/video/QeYISW-Jplw?ad=5ded335a3568613e35e7eff0,/current/QeYISW-Jplw,QeYISW-Jplw_5df3b21acca06d62bf8f6c5a.wav,1236.1509210247957,1284.7909210247956,48.64,inline,they both sit still looking out into the distance the actress looks nostalgic even melancholic so does the director the director puts his arm around the young actress and she cries with both hands do holding her chest their heads cradled together they said they're the directors assistant is he crying in the back a wide shot of the stage reveals the three characters are joined by two couples standing on each side of the stage looking in the director hands the young actress a handkerchief and yells out into his megaphone a title and Italian flashes so strong and so sad," They both sit still, looking out into the distance. The actress looks nostalgic, even melancholic. So does the director. The director puts his arm around the young actress and she cries with both hands still holding her chest. Their heads cradled together, they sit there. The director's assistant is seen crying in the back. A wide shot of the stage reveals the three characters are joined by two couples standing on each side of the stage looking in. The director hands the young actress a handkerchief and yells out into his megaphone. A title in Italian flashes, So Strong and So Sad."," They both sit still, looking out into the distance. The actress looks nostalgic, even melancholic. So does the director. The director puts his arm around the young actress, and she cries with both hands still holding her chest. Their heads cradled together, they sit there. The director's assistant is seen crying in the back. A wide shot of the stage reveals the three characters are joined by two couples standing on each side of the stage looking in. The director hands the young actress a handkerchief and yells out into his megaphone. A title in Italian flashes, So Strong and So Sad."," They both sit still, looking out into the distance. The actress looks nostalgic, even melancholic. So does the director. The director puts his arm around the young actress and she cries with both hands still holding her chest. Their heads cradled together, they sit there. The director's assistant is seen crying in the back. A wide shot of the stage reveals the three characters are joined by two couples standing on each side of the stage looking in. The director hands the young actress a handkerchief and yells out into his megaphone. A title in Italian flashes, So Strong and So Sad."," They both sit still, looking out into the distance. The actress looks nostalgic, even melancholic. So does the director. The director puts his arm around the young actress and she cries with both hands still holding her chest. Their heads cradled together, they sit there. The director's assistant is seen crying in the back. A white shot of the stage reveals the three characters are joined by two couples standing on each side of the stage looking in. The director hands the young actress a handkerchief and yells out into his megaphone. A title and Italian flashes so strong and so sad."," They both sit still looking out into the distance. The actress looks nostalgic, even melancholic. So does a director. The director puts his arm around the young actress and she cries with both hands still holding her chest. Their heads cradled together, they sit there. The director's assistant is seen crying in the back. A white shot of the stage reveals the three characters are joined by two couples standing on each side of the stage looking in. The director hands their young actress a handkerchief and yells out into his microphone, a title in Italian flashes, So strong and so sad."
https://youdescribe.org/video/BQUY_fFWd0k?ad=6025c5f880c96d31ff118774,/current/BQUY_fFWd0k,BQUY_fFWd0k_6025c5f880c96d31ff118773.wav,493.494222,493.494222,3.251,extended,California Science Center logo on screen, California Science Center logo on screen., California Science Center logo on screen., California Science Center logo on screen., California Science Center logo on screen., California Science Center logo on screen.
https://youdescribe.org/video/BQUY_fFWd0k?ad=6025c5f880c96d31ff118774,/current/BQUY_fFWd0k,BQUY_fFWd0k_6025c617aad36831fd7e5e4c.wav,502.127839,502.127839,9.474,extended,text on screen to download this activity and more visit our website www.telephonesonline.co.uk / stuck at home," Text on screen. To download this activity and more, visit our website www.californiasciencecenter.org."," Text on screen. To download this activity and more, visit our website, www.californiasciencecenter.org."," Text on screen. To download this activity and more, visit our website, www.californiasciencecenter.org."," Text on screen. To download this activity and more, visit our website, www.California Science Center.org.stuck at home.", Text on screen. To download this activity and more visit our website W. W. California Science Center.org slash Duck at home.
https://youdescribe.org/video/5z_d0soK1cI?ad=5b4ea92191f5873e31fae59c,/current/5z_d0soK1cI,5z_d0soK1cI_5b4eb99c91f5873e31fae5af.wav,443.5067571525879,443.5067571525879,19.969,extended," Jamie places a knife in his right hand vertically on the chopping board. His left hand knuckles are placed against the flat of the knife blade. With his fingers and thumbs tucked under. He starts a chopping motion up and down with a knife making a tapping sound. He continues tap chopping, hardly looking down at the knife."," Jamie places the knife in his right hand, vertically on the chopping board. His left hand knuckles are placed against the flat of the knife blade, with his fingers and thumbs tucked under. He starts a chopping motion up and down with the knife, making a tapping sound. He continues tap chopping, hardly looking down at the knife."," Jamie places a knife in his right hand vertically on the chopping board. His left hand knuckles are placed against the flat of the knife blade with his fingers and thumbs tucked under. He starts a chopping motion up and down with the knife making a tapping sound. He continues tap chopping, hardly looking down at the knife."," Jamie places the knife in his right hand vertically on the chopping board. His left hand knuckles are placed against the flat of the knife blade with his fingers and thumbs tucked under. He starts a chopping motion up and down with the knife, making a tapping sound. He continues tap chopping, hardly looking down at the knife."," Jamie places the knife in his right hand vertically on the chopping board. His left hand knuckles are placed against the flat of the knife blade with his fingers and thumbs tucked under. He starts a chopping motion up and down with the knife, making a tapping sound. He continues tap chopping, hardly looking down at the knife."," Jamie places the knife in his right hand vertically on the chopping board. His left hand knuckles are placed against the flat of the knife blade with his fingers and thumbs tucked under. He starts a chopping motion up and down with a knife making a tapping sound. He continues tap chopping, hardly looking down at the knife."
https://youdescribe.org/video/5z_d0soK1cI?ad=5b4ea92191f5873e31fae59c,/current/5z_d0soK1cI,5z_d0soK1cI_5b4eba2d91f5873e31fae5b0.wav,476.81905388365175,476.81905388365175,17.183,extended," Jamie puts his knife vertically on the chopping board and places his left palm flat and horizontal on Top of the knife at the end of the blade. He then rocks the knife blade up and down on the board. His palm never leaves contact with the blade, and the blade always keeps contact with the board.", Jamie puts his knife vertically on the chopping board and places his left palm flat and horizontal on top of the knife at the end of the blade. He then rocks the knife blade up and down on the board. His palm never leaves contact with the blade and the blade always keeps contact with the board., Jamie puts his knife vertically on the chopping board and places his left palm flat and horizontal on top of the knife at the end of the blade. He then rocks the knife blade up and down on the board. His palm never leaves contact with the blade and the blade always keeps contact with the board., Jamie puts his knife vertically on the chopping board and places his left palm flat and horizontal on top of the knife at the end of the blade. He then rocks the knife blade up and down on the board. His palm never leaves contact with the blade and the blade always keeps contact with the board., Jamie puts his knife vertically on the chopping board and places his left palm flat and horizontal on top of the knife at the end of the blade. He then rocks the knife blade up and down on the board. His palm never leaves contact with the blade and the blade always keeps contact with the board., Jamie puts his knife vertically on the chopping board and places his left palm flat and horizontal on top of the knife at the end of the blade. He then rocks the knife blade up and down on the board. His palm never leaves contact with the blade and the blade always keeps contact with the board.
