youdescribe_link,audio_clip_file_path,audio_clip_file_name,audio_clip_duration,audio_clip_start_time,audio_clip_end_time,audio_clip_playback_type,db_transcript,oa_transcript_sentence,bleu_score,cosine_similarity
https://youdescribe.org/video/DaXwnTk0hUE?ad=609722ca3b2e2707ed898fc0,/current/DaXwnTk0hUE,DaXwnTk0hUE_609bbd77f1539c07e70d437e.wav,2.322,2399.137460019073,2401.459455483926,inline,she's bracelet owl, She sprays the towel.,0.045,0.171
https://youdescribe.org/video/DaXwnTk0hUE?ad=609722ca3b2e2707ed898fc0,/current/DaXwnTk0hUE,DaXwnTk0hUE_609bc10d3b2e2707ed899151.wav,5.3870000000000005,3237.856343891281,3243.243373369739,inline,she flutters her fingers in a circular motionshe flutters her fingers in a circular motion, She flutters her fingers in a circular motion.,0.376,0.9259999999999999
https://youdescribe.org/video/FsdpZssRSs0?ad=58e7cf3a46e13dfd851a27aa,/legacy,14788696618521.wav,1.79,283.913,283.913,extended, The crowds began to play., The crows begin to play.,0.7859999999999999,0.43200000000000005
https://youdescribe.org/video/6qmPNBl2e2U?ad=58e7cf2e46e13dfd851a225e,/legacy,14231589420351.wav,5.882000000000001,699.49,699.49,extended," Political spectrum showing pain, you'd just centre left and cal throw just centre, right?", Political spectrum showing Peña just center left and Caldron just center right.,0.6629999999999999,0.42100000000000004
https://youdescribe.org/video/6qmPNBl2e2U?ad=58e7cf2e46e13dfd851a225e,/legacy,14231661003511.wav,3.58,4442.213,4442.213,extended," President of palestine, mark mood, a boss.", President of Palestine Mahmoud Abbas,0.499,0.381
https://youdescribe.org/video/6qmPNBl2e2U?ad=58e7cf2e46e13dfd851a225e,/legacy,14231669273721.wav,9.463,5052.241,5052.241,extended, At ola home any 1979 to 1989 and ayatollah how many? 1889 to present., Atola Haumeni 1979 to 1989 and Ayatollah Haumeni 1889 to present,0.638,0.48
https://youdescribe.org/video/6qmPNBl2e2U?ad=58e7cf2e46e13dfd851a225e,/legacy,14231694922191.wav,2.046,5733.302,5733.302,extended, She's jumping., Xi Jinping.,0.26899999999999996,0.0
https://youdescribe.org/video/6qmPNBl2e2U?ad=58e7cf2e46e13dfd851a225e,/legacy,14231735746951.wav,7.928,7988.842,7988.842,extended, Second string up incoming leaders do more russa Brazil and wreak a banyan nieto Mexico., Second string up-and-coming leaders Dilma Rousseff Brazil Enrique Pena Nieto Mexico,0.5870000000000001,0.425
https://youdescribe.org/video/6qmPNBl2e2U?ad=58e7cf2e46e13dfd851a225e,/legacy,14231736876051.wav,8.951,8158.02,8158.02,extended," Photos of ruth f nato widowed, oh abbott of dala erode, and zoomar and jonathan."," Photos of Rusev, Nieto, Wododo, Abbott, Abdullah, Erodin, Zuma, and Jonathan.",0.375,0.342
https://youdescribe.org/video/6qmPNBl2e2U?ad=58e7cf2e46e13dfd851a225e,/legacy,14231737181791.wav,6.649,8166.34,8166.34,extended," Photos of hillary clinton, dill morose, a Angela markel and parking he."," Photos of Hillary Clinton, Dilma Rousseff, Angela Merkel, and Park Jin-hee.",0.526,0.35600000000000004
